timestamp,temperature_celsius,humidite_pourcent,pression_hpa
2026-02-19T20:47:38.168367,31.36,67.26,1001.86
2026-02-19T20:47:43.175404,37.51,77.53,1011.73
2026-02-19T20:47:48.186166,30.28,43.35,1005.81
2026-02-19T20:47:53.193573,34.31,43.21,1012.46
2026-02-19T20:47:58.199219,35.62,35.85,1014.27
2026-02-19T20:48:03.207845,30.86,46.01,1003.14
2026-02-19T20:48:08.217163,32.94,78.77,1021.03
2026-02-19T20:48:13.226912,35.41,52.90,1013.99
2026-02-19T20:48:18.236245,31.56,88.15,1003.29
2026-02-19T20:48:23.246608,35.24,60.58,1005.48
2026-02-19T20:48:28.255909,33.35,49.15,1012.71
2026-02-19T20:48:33.263806,30.44,38.05,1007.97
2026-02-19T20:48:38.272909,30.30,47.70,1020.33
2026-02-19T20:48:43.282635,34.99,33.73,1009.80
2026-02-19T20:48:48.291740,34.52,57.86,1022.51
2026-02-19T20:48:53.301421,35.27,53.54,1013.03
2026-02-19T20:48:58.307606,28.07,52.52,1013.73
2026-02-19T20:49:03.317358,30.90,29.58,1006.17
2026-02-19T20:49:08.322111,35.53,72.88,1023.83
2026-02-19T20:49:13.329083,32.95,67.70,1006.80
2026-02-19T20:49:18.337928,36.54,36.53,1006.39
2026-02-19T20:49:23.347497,37.44,41.91,1017.82
2026-02-19T20:49:28.352214,36.98,88.34,1023.99
2026-02-19T20:49:33.362759,28.89,83.93,1022.16
2026-02-19T20:49:38.371745,36.66,54.91,1017.82
2026-02-19T21:11:46.910503,28.65,53.13,1005.70
2026-02-19T21:11:51.917523,30.65,64.04,1016.11
2026-02-19T21:11:56.927131,35.83,63.35,1022.35
2026-02-19T21:12:01.935983,28.78,43.12,1010.81
2026-02-19T21:12:06.944712,32.88,32.20,1022.92
2026-02-20T09:36:14.011227,34.91,87.81,1000.62
2026-02-20T09:36:19.018493,32.26,29.22,1011.00
2026-02-20T09:36:24.027892,28.58,80.73,1002.12
2026-02-20T09:36:51.121816,29.70,79.11,1005.20
2026-02-20T09:46:10.663445,35.77,86.33,1022.44
